order,fold,chunk_size,overlap,c,class_weight,min_char_count,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
6,2,768,0,1.0,,20,267,67,270,67,0.8656716417910447,0.8505597326649956,0.8638888888888889
6,3,768,0,1.0,,20,267,67,270,67,0.835820895522388,0.8388028638028638,0.8583333333333334
6,4,768,0,1.0,,20,267,67,270,67,0.8656716417910447,0.8584821903242957,0.8645238095238096
6,5,768,0,1.0,,20,268,66,268,69,0.8787878787878788,0.8589749285801919,0.8592424242424244
7,1,768,0,1.0,balanced,20,267,67,270,67,0.8805970149253731,0.8687806929912194,0.8746031746031745
7,2,768,0,1.0,balanced,20,267,67,270,67,0.8656716417910447,0.8859640522875818,0.8827777777777778
7,3,768,0,1.0,balanced,20,267,67,270,67,0.8955223880597015,0.8956216169451464,0.9033333333333333
7,4,768,0,1.0,balanced,20,267,67,270,67,0.9104477611940298,0.9033131024462294,0.9112698412698412
7,5,768,0,1.0,balanced,20,268,66,268,69,0.8939393939393939,0.8841258741258742,0.8884090909090908
8,1,768,0,3.0,,20,267,67,270,67,0.7910447761194029,0.733816425120773,0.7685714285714286
8,2,768,0,3.0,,20,267,67,270,67,0.8656716417910447,0.8505597326649956,0.8638888888888889
8,3,768,0,3.0,,20,267,67,270,67,0.835820895522388,0.8388028638028638,0.8583333333333334
8,4,768,0,3.0,,20,267,67,270,67,0.8656716417910447,0.8584821903242957,0.8645238095238096
8,5,768,0,3.0,,20,268,66,268,69,0.8636363636363636,0.8457900432900433,0.8425757575757575
9,1,768,0,3.0,balanced,20,267,67,270,67,0.8805970149253731,0.8687806929912194,0.8746031746031745
9,2,768,0,3.0,balanced,20,267,67,270,67,0.8656716417910447,0.8859640522875818,0.8827777777777778
9,3,768,0,3.0,balanced,20,267,67,270,67,0.8955223880597015,0.8956216169451464,0.9033333333333333
9,4,768,0,3.0,balanced,20,267,67,270,67,0.9104477611940298,0.9033131024462294,0.9112698412698412
9,5,768,0,3.0,balanced,20,268,66,268,69,0.8939393939393939,0.8841258741258742,0.8884090909090908
10,1,768,384,0.03,,20,267,67,270,67,0.7611940298507462,0.702936507936508,0.7342857142857142
10,2,768,384,0.03,,20,267,67,270,67,0.835820895522388,0.8266891587944218,0.841388888888889
10,3,768,384,0.03,,20,267,67,270,67,0.8208955223880597,0.8230525030525031,0.8416666666666666
10,4,768,384,0.03,,20,267,67,270,67,0.8805970149253731,0.8764646464646466,0.8895238095238096
10,5,768,384,0.03,,20,268,66,268,69,0.8636363636363636,0.8560062323297618,0.85491341991342
11,1,768,384,0.03,balanced,20,267,67,270,67,0.8955223880597015,0.8937723387723387,0.8946031746031746
11,2,768,384,0.03,balanced,20,267,67,270,67,0.8656716417910447,0.8777305563373675,0.8813888888888888
11,3,768,384,0.03,balanced,20,267,67,270,67,0.8805970149253731,0.8774499623183833,0.8933333333333333
11,4,768,384,0.03,balanced,20,267,67,270,67,0.9253731343283582,0.9253333044664315,0.9312698412698414
11,5,768,384,0.03,balanced,20,268,66,268,69,0.9242424242424242,0.9174967679379444,0.9175757575757576
12,1,768,384,0.1,,20,267,67,270,67,0.7611940298507462,0.7055096073517125,0.7342857142857142
12,2,768,384,0.1,,20,267,67,270,67,0.8656716417910447,0.8746115288220551,0.8738888888888889
12,3,768,384,0.1,,20,267,67,270,67,0.8208955223880597,0.8258230658230659,0.8416666666666666
12,4,768,384,0.1,,20,267,67,270,67,0.8656716417910447,0.8584821903242957,0.8645238095238096
12,5,768,384,0.1,,20,268,66,268,69,0.8636363636363636,0.8560062323297618,0.85491341991342
13,1,768,384,0.1,balanced,20,267,67,270,67,0.8805970149253731,0.8761965811965812,0.8746031746031745
13,2,768,384,0.1,balanced,20,267,67,270,67,0.8805970149253731,0.8902305563373675,0.8938888888888888
13,3,768,384,0.1,balanced,20,267,67,270,67,0.8656716417910447,0.8670251257170761,0.8833333333333334
13,4,768,384,0.1,balanced,20,267,67,270,67,0.9253731343283582,0.9253333044664315,0.9312698412698414
13,5,768,384,0.1,balanced,20,268,66,268,69,0.9242424242424242,0.9174967679379444,0.9175757575757576
14,1,768,384,0.3,,20,267,67,270,67,0.7611940298507462,0.7055096073517125,0.7342857142857142
14,2,768,384,0.3,,20,267,67,270,67,0.8656716417910447,0.8746115288220551,0.8738888888888889
14,3,768,384,0.3,,20,267,67,270,67,0.835820895522388,0.8454235822656875,0.8583333333333334
14,4,768,384,0.3,,20,267,67,270,67,0.8656716417910447,0.8584821903242957,0.8645238095238096
14,5,768,384,0.3,,20,268,66,268,69,0.8484848484848485,0.838387184710714,0.8382467532467534
15,1,768,384,0.3,balanced,20,267,67,270,67,0.8805970149253731,0.8761965811965812,0.8746031746031745
15,2,768,384,0.3,balanced,20,267,67,270,67,0.8805970149253731,0.8902305563373675,0.8938888888888888
