order,chunk_size,overlap,c,class_weight,min_char_count,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy
49,1280,0,3.0,balanced,20,0.8772501130710086,0.02891308601387936,0.876179068093929,0.02565704113310439,0.8803239538239538,0.03154521889592376
50,1280,640,0.03,,20,0.8563998190863862,0.04359511353659616,0.8486705365497935,0.054199504696699916,0.8565382395382397,0.05307523837575549
51,1280,640,0.03,balanced,20,0.8982360922659429,0.02555785004715571,0.901450739662814,0.020399024506960545,0.9045937950937951,0.019354579489476612
52,1280,640,0.1,,20,0.8623699683401176,0.03911605867876919,0.856563678495567,0.05246820938016425,0.8633953823953824,0.049385551441352274
53,1280,640,0.1,balanced,20,0.8922659430122117,0.025494380855485575,0.8937651969633394,0.023875117271158205,0.8965937950937951,0.02510875693984859
54,1280,640,0.3,,20,0.8683401175938489,0.03298958630582472,0.863297424625598,0.04493528733792592,0.8682525252525254,0.044132851864078115
55,1280,640,0.3,balanced,20,0.8982360922659429,0.028834304388905288,0.9011136818118242,0.027551039083203183,0.9039271284271283,0.026360643723138823
56,1280,640,1.0,,20,0.8653098145635459,0.026506159760434096,0.8608278415770675,0.036889063594652965,0.8657763347763348,0.037706154703964385
57,1280,640,1.0,balanced,20,0.8952057892356399,0.029857461246015408,0.8943956612702744,0.03371564165511277,0.8969271284271283,0.03142487529231432
58,1280,640,3.0,,20,0.8623247399366802,0.03167616044668246,0.8573673543518744,0.043374158545187586,0.862919191919192,0.04304587867491753
59,1280,640,3.0,balanced,20,0.8952057892356399,0.029857461246015408,0.8943956612702744,0.03371564165511277,0.8969271284271283,0.03142487529231432
