order,fold,chunk_size,overlap,c,class_weight,min_char_count,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
22,1,1024,0,0.1,,20,844,211,852,211,0.8578199052132701,0.8417106466089412,0.8474464028035457
22,2,1024,0,0.1,,20,844,211,849,214,0.8341232227488151,0.8141614405546295,0.8190579262007833
22,3,1024,0,0.1,,20,844,211,852,211,0.8720379146919431,0.8478092282515526,0.8377037018954312
22,4,1024,0,0.1,,20,844,211,847,216,0.8862559241706162,0.852454215165651,0.84934682006774
22,5,1024,0,0.1,,20,844,211,852,211,0.8246445497630331,0.8027542565809104,0.8101229487010115
23,1,1024,0,0.1,balanced,20,844,211,852,211,0.8862559241706162,0.8717619700336247,0.8916186570321909
23,2,1024,0,0.1,balanced,20,844,211,849,214,0.8720379146919431,0.8464406742654742,0.8660019909080059
23,3,1024,0,0.1,balanced,20,844,211,852,211,0.9052132701421801,0.8899020482918398,0.8966233223752023
23,4,1024,0,0.1,balanced,20,844,211,847,216,0.909952606635071,0.8885067107233665,0.8954669906240008
23,5,1024,0,0.1,balanced,20,844,211,852,211,0.8767772511848341,0.8509756069703839,0.8725889398821729
24,1,1024,0,0.3,,20,844,211,852,211,0.8578199052132701,0.846682970466714,0.8487621922772299
24,2,1024,0,0.3,,20,844,211,849,214,0.8530805687203792,0.8415978383631284,0.8394929423124912
24,3,1024,0,0.3,,20,844,211,852,211,0.8720379146919431,0.8580760369051869,0.8501400959107727
24,4,1024,0,0.3,,20,844,211,847,216,0.8909952606635071,0.8623625893399531,0.8581187498923014
24,5,1024,0,0.3,,20,844,211,852,211,0.8246445497630331,0.8020502691555322,0.8101229487010115
25,1,1024,0,0.3,balanced,20,844,211,852,211,0.8957345971563981,0.8786295578548607,0.9005899488982196
25,2,1024,0,0.3,balanced,20,844,211,849,214,0.8672985781990521,0.8400234375397077,0.8584831939155247
25,3,1024,0,0.3,balanced,20,844,211,852,211,0.9052132701421801,0.8899020482918398,0.8966233223752023
25,4,1024,0,0.3,balanced,20,844,211,847,216,0.909952606635071,0.8885067107233665,0.8954669906240008
25,5,1024,0,0.3,balanced,20,844,211,852,211,0.8815165876777251,0.8584108617740598,0.8778520977769099
26,1,1024,0,1.0,,20,844,211,852,211,0.8578199052132701,0.846682970466714,0.8487621922772299
26,2,1024,0,1.0,,20,844,211,849,214,0.8530805687203792,0.8415978383631284,0.8394929423124912
26,3,1024,0,1.0,,20,844,211,852,211,0.8720379146919431,0.8580760369051869,0.8501400959107727
26,4,1024,0,1.0,,20,844,211,847,216,0.8957345971563981,0.8642583817066464,0.860511094389909
26,5,1024,0,1.0,,20,844,211,852,211,0.8246445497630331,0.8020502691555322,0.8101229487010115
27,1,1024,0,1.0,balanced,20,844,211,852,211,0.9004739336492891,0.8878628684039608,0.9081087458907007
27,2,1024,0,1.0,balanced,20,844,211,849,214,0.8672985781990521,0.8400234375397077,0.8584831939155247
27,3,1024,0,1.0,balanced,20,844,211,852,211,0.9004739336492891,0.8865720921563692,0.8942309778775945
27,4,1024,0,1.0,balanced,20,844,211,847,216,0.909952606635071,0.8885067107233665,0.8954669906240008
27,5,1024,0,1.0,balanced,20,844,211,852,211,0.8815165876777251,0.8580509877299752,0.8778520977769099
28,1,1024,0,3.0,,20,844,211,852,211,0.8578199052132701,0.846682970466714,0.8487621922772299
28,2,1024,0,3.0,,20,844,211,849,214,0.8530805687203792,0.8415978383631284,0.8394929423124912
28,3,1024,0,3.0,,20,844,211,852,211,0.8720379146919431,0.8580760369051869,0.8501400959107727
28,4,1024,0,3.0,,20,844,211,847,216,0.9004739336492891,0.8751036767624676,0.8692830242144705
28,5,1024,0,3.0,,20,844,211,852,211,0.8293838862559242,0.8110424465687622,0.8167018960694326
29,1,1024,0,3.0,balanced,20,844,211,852,211,0.8957345971563981,0.8797132608735483,0.8993368160661394
29,2,1024,0,3.0,balanced,20,844,211,849,214,0.8672985781990521,0.8400234375397077,0.8584831939155247
29,3,1024,0,3.0,balanced,20,844,211,852,211,0.9004739336492891,0.8883399747558693,0.8942309778775945
29,4,1024,0,3.0,balanced,20,844,211,847,216,0.909952606635071,0.8885067107233665,0.8954669906240008
29,5,1024,0,3.0,balanced,20,844,211,852,211,0.8815165876777251,0.8602952641670867,0.8778520977769099
30,1,1024,512,0.03,,20,844,211,852,211,0.8388625592417062,0.8055054521293148,0.8228874404626284
30,2,1024,512,0.03,,20,844,211,849,214,0.8246445497630331,0.7914550029350788,0.8004175753235904
30,3,1024,512,0.03,,20,844,211,852,211,0.8530805687203792,0.8169711619319805,0.8153656598205471
30,4,1024,512,0.03,,20,844,211,847,216,0.8767772511848341,0.8455773538559677,0.8407539092191901
30,5,1024,512,0.03,,20,844,211,852,211,0.8246445497630331,0.7889423007993864,0.80080745216747
31,1,1024,512,0.03,balanced,20,844,211,852,211,0.8957345971563981,0.8725243978269613,0.893532532630277
31,2,1024,512,0.03,balanced,20,844,211,849,214,0.8720379146919431,0.8516278747196898,0.8756511137150235
31,3,1024,512,0.03,balanced,20,844,211,852,211,0.9052132701421801,0.8903029242560137,0.8911184888628497
31,4,1024,512,0.03,balanced,20,844,211,847,216,0.8909952606635071,0.8722975378189388,0.8805368080246452
31,5,1024,512,0.03,balanced,20,844,211,852,211,0.8957345971563981,0.8811043611641342,0.8949174885265111
32,1,1024,512,0.1,,20,844,211,852,211,0.8436018957345972,0.8148553572530635,0.8294663878310494
32,2,1024,512,0.1,,20,844,211,849,214,0.8341232227488151,0.8080286339823941,0.8154551693085528
32,3,1024,512,0.1,,20,844,211,852,211,0.8625592417061612,0.8421775345067741,0.8360423515498704
32,4,1024,512,0.1,,20,844,211,847,216,0.8862559241706162,0.8572712967694228,0.8519181835413591
32,5,1024,512,0.1,,20,844,211,852,211,0.8293838862559242,0.79905709187393,0.8060706100622067
33,1,1024,512,0.1,balanced,20,844,211,852,211,0.9004739336492891,0.8748193346448906,0.8988583471666179
33,2,1024,512,0.1,balanced,20,844,211,849,214,0.8767772511848341,0.85123918849498,0.8761523668478555
33,3,1024,512,0.1,balanced,20,844,211,852,211,0.9052132701421801,0.8886691976519665,0.8911184888628497
33,4,1024,512,0.1,balanced,20,844,211,847,216,0.8957345971563981,0.8717451548342442,0.8803577890486337
33,5,1024,512,0.1,balanced,20,844,211,852,211,0.8909952606635071,0.877510634069795,0.8861455587019497
34,1,1024,512,0.3,,20,844,211,852,211,0.8483412322274881,0.8271360590074494,0.8382383176556109
34,2,1024,512,0.3,,20,844,211,849,214,0.8388625592417062,0.8134615711640578,0.822973966301034
34,3,1024,512,0.3,,20,844,211,852,211,0.8672985781990521,0.848587411915086,0.8435611485423515
34,4,1024,512,0.3,,20,844,211,847,216,0.8909952606635071,0.8653065363836099,0.8594369805338403
34,5,1024,512,0.3,,20,844,211,852,211,0.8293838862559242,0.79905709187393,0.8060706100622067
35,1,1024,512,0.3,balanced,20,844,211,852,211,0.8957345971563981,0.8686789837676976,0.893595189271881
35,2,1024,512,0.3,balanced,20,844,211,849,214,0.8767772511848341,0.85123918849498,0.8761523668478555
35,3,1024,512,0.3,balanced,20,844,211,852,211,0.9052132701421801,0.8886691976519665,0.8911184888628497
35,4,1024,512,0.3,balanced,20,844,211,847,216,0.8957345971563981,0.8717451548342442,0.8803577890486337
35,5,1024,512,0.3,balanced,20,844,211,852,211,0.8862559241706162,0.8659910056526596,0.8773736288773883
36,1,1024,512,1.0,,20,844,211,852,211,0.8436018957345972,0.8235816537909944,0.8334536286603956
36,2,1024,512,1.0,,20,844,211,849,214,0.8436018957345972,0.8156242891162495,0.8253663107986416
36,3,1024,512,1.0,,20,844,211,852,211,0.8720379146919431,0.8579745160390322,0.8501400959107727
36,4,1024,512,1.0,,20,844,211,847,216,0.8909952606635071,0.8650168544905386,0.8594369805338403
36,5,1024,512,1.0,,20,844,211,852,211,0.8341232227488151,0.8063644845378592,0.8126495574306277
37,1,1024,512,1.0,balanced,20,844,211,852,211,0.8909952606635071,0.8650599997325569,0.8888105002766657
