order,fold,c,class_weight,nfft,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
4,3,0.3,,2048,841,210,841,210,0.6238095238095238,0.5510898001324318,0.5469005305471472
4,4,0.3,,2048,841,210,841,210,0.6904761904761905,0.6203780324714999,0.619395485466914
4,5,0.3,,2048,841,210,841,210,0.6666666666666666,0.5966308773540087,0.5820008705236481
5,1,0.3,balanced,2048,840,211,840,211,0.6492890995260664,0.583058391558433,0.5964392295993358
5,2,0.3,balanced,2048,841,210,841,210,0.6142857142857143,0.5490009922239794,0.5647069513610866
5,3,0.3,balanced,2048,841,210,841,210,0.6333333333333333,0.5764051561387392,0.599484913582658
5,4,0.3,balanced,2048,841,210,841,210,0.6857142857142857,0.6462775001193811,0.6811676105849037
5,5,0.3,balanced,2048,841,210,841,210,0.6333333333333333,0.5720470839134887,0.5855070975758726
6,1,1.0,,2048,840,211,840,211,0.6445497630331753,0.5728150551218606,0.5715905181849454
6,2,1.0,,2048,841,210,841,210,0.6476190476190476,0.566805864470227,0.5526001150061299
6,3,1.0,,2048,841,210,841,210,0.6285714285714286,0.5608014954635462,0.5735833089216548
6,4,1.0,,2048,841,210,841,210,0.6904761904761905,0.6337117268717025,0.627768691208541
6,5,1.0,,2048,841,210,841,210,0.6523809523809524,0.582419804947736,0.5689937538013611
7,1,1.0,balanced,2048,840,211,840,211,0.6303317535545023,0.5702402028589055,0.5770869432302428
7,2,1.0,balanced,2048,841,210,841,210,0.638095238095238,0.5726058056512675,0.5722271045579316
7,3,1.0,balanced,2048,841,210,841,210,0.638095238095238,0.5767640979319459,0.5988473619112717
7,4,1.0,balanced,2048,841,210,841,210,0.6952380952380952,0.6528080725531649,0.6769159099046318
7,5,1.0,balanced,2048,841,210,841,210,0.638095238095238,0.5733756882771059,0.5824628256406231
8,1,3.0,,2048,840,211,840,211,0.6398104265402843,0.5743908944706252,0.5752300601261238
8,2,3.0,,2048,841,210,841,210,0.6285714285714286,0.546422554054133,0.5334172823834477
8,3,3.0,,2048,841,210,841,210,0.6238095238095238,0.5562686811997445,0.5740617778211763
8,4,3.0,,2048,841,210,841,210,0.6857142857142857,0.6271774640978544,0.632177033492823
8,5,3.0,,2048,841,210,841,210,0.638095238095238,0.558362445699187,0.5663304396718815
9,1,3.0,balanced,2048,840,211,840,211,0.6445497630331753,0.5802769612754756,0.5853202205922242
9,2,3.0,balanced,2048,841,210,841,210,0.638095238095238,0.5585643571541696,0.5504091668565352
9,3,3.0,balanced,2048,841,210,841,210,0.6190476190476191,0.5492702534201775,0.5752030237932494
9,4,3.0,balanced,2048,841,210,841,210,0.6714285714285714,0.6265005011181092,0.6418281906063861
9,5,3.0,balanced,2048,841,210,841,210,0.6285714285714286,0.5637322551782953,0.5712334535089953
10,1,10.0,,2048,840,211,840,211,0.6303317535545023,0.5654002957613526,0.5642675890132768
10,2,10.0,,2048,841,210,841,210,0.6142857142857143,0.5278199892446155,0.5213155996050732
10,3,10.0,,2048,841,210,841,210,0.6238095238095238,0.5585625930544842,0.5782483806919898
10,4,10.0,,2048,841,210,841,210,0.6761904761904762,0.6198580281657521,0.623883572567783
10,5,10.0,,2048,841,210,841,210,0.6142857142857143,0.5305058021913313,0.5510914493389062
11,1,10.0,balanced,2048,840,211,840,211,0.6492890995260664,0.5863753080550634,0.5899150409765181
11,2,10.0,balanced,2048,841,210,841,210,0.6238095238095238,0.5449448345545786,0.5377629680261259
11,3,10.0,balanced,2048,841,210,841,210,0.6142857142857143,0.5394958263752576,0.5677245060703707
11,4,10.0,balanced,2048,841,210,841,210,0.6571428571428571,0.59605336836434,0.6096064023695602
11,5,10.0,balanced,2048,841,210,841,210,0.6238095238095238,0.5557211992091818,0.5715746426162172
