order,fold,chunk_size,overlap,c,class_weight,min_char_count,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
34,5,1024,512,0.3,,20,841,210,841,210,0.8714285714285714,0.8563908835675051,0.8533290429409405
35,1,1024,512,0.3,balanced,20,840,211,840,211,0.8767772511848341,0.8601784705784599,0.8887554383794986
35,2,1024,512,0.3,balanced,20,841,210,841,210,0.861904761904762,0.8269799358231752,0.8374778938688713
35,3,1024,512,0.3,balanced,20,841,210,841,210,0.9095238095238095,0.8708888838297412,0.888157081014224
35,4,1024,512,0.3,balanced,20,841,210,841,210,0.8952380952380953,0.8620520503332398,0.8795893955668392
35,5,1024,512,0.3,balanced,20,841,210,841,210,0.8809523809523809,0.8493915503852372,0.8584647495361782
36,1,1024,512,1.0,,20,840,211,840,211,0.8530805687203792,0.8419896433866775,0.8422568868057589
36,2,1024,512,1.0,,20,841,210,841,210,0.819047619047619,0.7960348331865359,0.7906984723714047
36,3,1024,512,1.0,,20,841,210,841,210,0.9047619047619048,0.8681463359481935,0.873003124694854
36,4,1024,512,1.0,,20,841,210,841,210,0.8809523809523809,0.8461386075145166,0.8422614979005957
36,5,1024,512,1.0,,20,841,210,841,210,0.8666666666666667,0.8533596434525227,0.8480658850462035
37,1,1024,512,1.0,balanced,20,840,211,840,211,0.8720379146919431,0.8543042162787152,0.879983508554937
37,2,1024,512,1.0,balanced,20,841,210,841,210,0.8571428571428571,0.8220816607236617,0.8316299406524971
37,3,1024,512,1.0,balanced,20,841,210,841,210,0.9047619047619048,0.865212797370301,0.8815781336458028
37,4,1024,512,1.0,balanced,20,841,210,841,210,0.8904761904761904,0.8519796665766456,0.8690630797773655
37,5,1024,512,1.0,balanced,20,841,210,841,210,0.8809523809523809,0.8508275427250496,0.8584647495361782
38,1,1024,512,3.0,,20,840,211,840,211,0.8530805687203792,0.8419896433866775,0.8422568868057589
38,2,1024,512,3.0,,20,841,210,841,210,0.819047619047619,0.7960348331865359,0.7906984723714047
38,3,1024,512,3.0,,20,841,210,841,210,0.9047619047619048,0.8681463359481935,0.873003124694854
38,4,1024,512,3.0,,20,841,210,841,210,0.8809523809523809,0.8461386075145166,0.8422614979005957
38,5,1024,512,3.0,,20,841,210,841,210,0.861904761904762,0.8454833092603992,0.8405470880537224
39,1,1024,512,3.0,balanced,20,840,211,840,211,0.8720379146919431,0.8543042162787152,0.879983508554937
39,2,1024,512,3.0,balanced,20,841,210,841,210,0.861904761904762,0.8247103844866341,0.8327040545085659
39,3,1024,512,3.0,balanced,20,841,210,841,210,0.9095238095238095,0.8708888838297412,0.888157081014224
39,4,1024,512,3.0,balanced,20,841,210,841,210,0.8904761904761904,0.8491885979961032,0.8690630797773655
39,5,1024,512,3.0,balanced,20,841,210,841,210,0.8809523809523809,0.8508275427250496,0.8584647495361782
40,1,1280,0,0.03,,20,840,211,840,211,0.8483412322274881,0.8015379400103513,0.8086420054465167
40,2,1280,0,0.03,,20,841,210,841,210,0.8095238095238095,0.7597700820389081,0.7750457040870574
40,3,1280,0,0.03,,20,841,210,841,210,0.8857142857142857,0.8234201986523969,0.8433779253328125
40,4,1280,0,0.03,,20,841,210,841,210,0.8809523809523809,0.8599644954288916,0.855698499495492
40,5,1280,0,0.03,,20,841,210,841,210,0.8761904761904762,0.8585521291567778,0.8604903444631441
41,1,1280,0,0.03,balanced,20,840,211,840,211,0.8672985781990521,0.8432042281448578,0.8747203506602004
41,2,1280,0,0.03,balanced,20,841,210,841,210,0.8333333333333334,0.7821019662990496,0.8071317362670747
41,3,1280,0,0.03,balanced,20,841,210,841,210,0.9142857142857143,0.8883406690500387,0.90107818246916
41,4,1280,0,0.03,balanced,20,841,210,841,210,0.8904761904761904,0.8729415329698231,0.8845164860202454
41,5,1280,0,0.03,balanced,20,841,210,841,210,0.8857142857142857,0.8667643452604582,0.8913277511961724
42,1,1280,0,0.1,,20,840,211,840,211,0.8530805687203792,0.8175161101346533,0.8209227072009027
42,2,1280,0,0.1,,20,841,210,841,210,0.8142857142857143,0.7625337793568395,0.777438048584665
42,3,1280,0,0.1,,20,841,210,841,210,0.9142857142857143,0.8755130724706204,0.8753531556163134
42,4,1280,0,0.1,,20,841,210,841,210,0.8809523809523809,0.8601521302914491,0.855698499495492
42,5,1280,0,0.1,,20,841,210,841,210,0.8904761904761904,0.8775662067092291,0.8890617730345726
