order,chunk_size,overlap,c,class_weight,min_char_count,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy
34,1024,512,0.3,,20,0.8382622432859399,0.017686161356213134,0.799568735124444,0.008191007638131161,0.8055306636211104,0.01447727893936357
35,1024,512,0.3,balanced,20,0.8725118483412322,0.015090110685912954,0.8362721064531897,0.018585017875785998,0.8577415671212663,0.017053176594101563
36,1024,512,1.0,,20,0.8420627397878583,0.014788739922938094,0.8048530261720759,0.003285803328755228,0.8099086540517323,0.01101312693680158
37,1024,512,1.0,balanced,20,0.871563981042654,0.01665483819374101,0.8348349584446273,0.019434683815442083,0.8546713916826698,0.021076578738087
38,1024,512,3.0,,20,0.8401579778830964,0.014562019543582284,0.802896436086504,0.008996950817598931,0.807136952069504,0.013870069562636079
39,1024,512,3.0,balanced,20,0.8696637327916947,0.017321744994683627,0.830359107409292,0.02154082615663797,0.8514132463192613,0.02112528357406756
40,1280,0,0.03,,20,0.8411238997968855,0.02249404811858528,0.7911985643511008,0.025907895781296854,0.8058066240850407,0.02264599729534155
41,1280,0,0.03,balanced,20,0.868711351839314,0.014477790657600341,0.835276631247272,0.02195638663325331,0.8611272706849885,0.01915666278833463
42,1280,0,0.1,,20,0.848729406454525,0.020620796220782445,0.8083119781805461,0.01578695680064469,0.8175444914808029,0.020569719013507726
43,1280,0,0.1,balanced,20,0.8706161137440759,0.014396503823771518,0.8338245832273975,0.02043144843910588,0.8614741606371416,0.019572188938177408
44,1280,0,0.3,,20,0.851582035657865,0.016757359036157476,0.8110696694804368,0.013824369941025032,0.8212704731015213,0.01583153341088371
45,1280,0,0.3,balanced,20,0.869659219137892,0.017877998697215822,0.8321464331904226,0.019294882218132085,0.8586136480110385,0.0207107425209023
46,1280,0,1.0,,20,0.851582035657865,0.01830931048876968,0.808462069230503,0.012729592441068666,0.8177156444715049,0.01706775554838265
47,1280,0,1.0,balanced,20,0.8658451816745656,0.018637879498028937,0.8239307892877623,0.02038985166152786,0.8504450121356358,0.02197203482898748
48,1280,0,3.0,,20,0.854439178515008,0.020440171822643887,0.8160966325642891,0.018535608139600188,0.8234863211632341,0.022318349108679175
49,1280,0,3.0,balanced,20,0.8667975626269465,0.019016668956464165,0.8252266977797114,0.020491620878155804,0.8509234810351574,0.022214997015444746
50,1280,640,0.03,,20,0.8373053486797563,0.018833206293850827,0.7915930502753422,0.01217437732089058,0.8010854932084477,0.017610341033406845
51,1280,640,0.03,balanced,20,0.8725118483412322,0.01883336314887044,0.84068917750488,0.023684683818984465,0.8647472306306891,0.019772657288582598
52,1280,640,0.1,,20,0.8496682464454975,0.014921878698941462,0.8094317858194578,0.009774323238463637,0.8176937617152124,0.01276910621873904
53,1280,640,0.1,balanced,20,0.8744166102459943,0.016007427418123894,0.8417782716046569,0.01768215415804155,0.8644282513643414,0.01597579699054159
54,1280,640,0.3,,20,0.8458677499435794,0.013586897184399111,0.8029446638608787,0.01106899441482133,0.8111169029015116,0.012989083763040836
55,1280,640,0.3,balanced,20,0.8734597156398104,0.01257044075354897,0.8382315835767302,0.013497764340095218,0.8603322971931995,0.01284208564835827
56,1280,640,1.0,,20,0.8458677499435794,0.012178776455831257,0.8056958519990637,0.003425095103285634,0.8109289329766994,0.008967585081109253
57,1280,640,1.0,balanced,20,0.8706025727826676,0.014537739683234498,0.8355306909735628,0.021457966287609976,0.8572974373162342,0.01977577076766118
58,1280,640,3.0,,20,0.8449108553373957,0.009780922198266076,0.8055983022184441,0.004605737102112696,0.8103122397284273,0.006788283979171667
59,1280,640,3.0,balanced,20,0.8687023245317084,0.014258748811546937,0.8318608554467876,0.017573083343841226,0.8532498182686152,0.01788460999174061
