order,fold,chunk_size,overlap,c,class_weight,min_char_count,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
6,3,768,0,1.0,,20,841,210,841,210,0.8333333333333334,0.7706438825264958,0.7846906226605475
6,4,768,0,1.0,,20,841,210,841,210,0.8238095238095238,0.7852831994106232,0.789521286983693
6,5,768,0,1.0,,20,841,210,841,210,0.8095238095238095,0.7703602596424822,0.7690045316372164
7,1,768,0,1.0,balanced,20,840,211,840,211,0.8625592417061612,0.8251453997704811,0.8436052251841726
7,2,768,0,1.0,balanced,20,841,210,841,210,0.8476190476190476,0.8130341753732662,0.8289239060855602
7,3,768,0,1.0,balanced,20,841,210,841,210,0.8952380952380953,0.8507215069783516,0.8765590925365361
7,4,768,0,1.0,balanced,20,841,210,841,210,0.8714285714285714,0.8293856021706266,0.8633409823259447
7,5,768,0,1.0,balanced,20,841,210,841,210,0.861904761904762,0.8205853797171371,0.8396449728216645
8,1,768,0,3.0,,20,840,211,840,211,0.8151658767772512,0.7708061072612157,0.771593725209382
8,2,768,0,3.0,,20,841,210,841,210,0.7714285714285715,0.7221845247794408,0.7339197561002072
8,3,768,0,3.0,,20,841,210,841,210,0.8333333333333334,0.7706438825264958,0.7846906226605475
8,4,768,0,3.0,,20,841,210,841,210,0.8238095238095238,0.7852831994106232,0.789521286983693
8,5,768,0,3.0,,20,841,210,841,210,0.8095238095238095,0.7703602596424822,0.7690045316372164
9,1,768,0,3.0,balanced,20,840,211,840,211,0.8625592417061612,0.8251453997704811,0.8436052251841726
9,2,768,0,3.0,balanced,20,841,210,841,210,0.8476190476190476,0.8130341753732662,0.8289239060855602
9,3,768,0,3.0,balanced,20,841,210,841,210,0.8952380952380953,0.8507215069783516,0.8765590925365361
9,4,768,0,3.0,balanced,20,841,210,841,210,0.8714285714285714,0.8293856021706266,0.8633409823259447
9,5,768,0,3.0,balanced,20,841,210,841,210,0.861904761904762,0.8205853797171371,0.8396449728216645
10,1,768,384,0.03,,20,840,211,840,211,0.8009478672985783,0.7518068013558658,0.7525206414304159
10,2,768,384,0.03,,20,841,210,841,210,0.7857142857142857,0.7641265745333665,0.7603713016307001
10,3,768,384,0.03,,20,841,210,841,210,0.8333333333333334,0.770247113281169,0.7856304722846076
10,4,768,384,0.03,,20,841,210,841,210,0.8380952380952381,0.7981859084515105,0.8014488331217655
10,5,768,384,0.03,,20,841,210,841,210,0.7952380952380952,0.7504144130247701,0.7487037797575171
11,1,768,384,0.03,balanced,20,840,211,840,211,0.8578199052132701,0.8241453222950061,0.8394693443565624
11,2,768,384,0.03,balanced,20,841,210,841,210,0.8476190476190476,0.8129293711337054,0.8317947194826893
11,3,768,384,0.03,balanced,20,841,210,841,210,0.9,0.8659823632815323,0.8870854083260098
11,4,768,384,0.03,balanced,20,841,210,841,210,0.8809523809523809,0.8456280249355275,0.8791304560101553
11,5,768,384,0.03,balanced,20,841,210,841,210,0.8476190476190476,0.8110755274923435,0.8324679393288416
12,1,768,384,0.1,,20,840,211,840,211,0.8104265402843602,0.7672701258614572,0.7665557291497141
