order,fold,ngram_min,ngram_max,c,class_weight,min_df,sublinear_tf,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
4,3,2,5,0.03,balanced,1,False,267,67,270,67,0.8208955223880597,0.8208638583638583,0.8259920634920634
4,4,2,5,0.03,balanced,1,False,267,67,270,67,0.8805970149253731,0.883805932629462,0.8893650793650794
4,5,2,5,0.03,balanced,1,False,268,66,268,69,0.8787878787878788,0.8683114271349567,0.8658658008658009
5,1,2,5,0.03,balanced,1,True,267,67,270,67,0.9402985074626866,0.9338455988455989,0.9346031746031747
5,2,2,5,0.03,balanced,1,True,267,67,270,67,0.8805970149253731,0.8714619883040935,0.8688888888888888
5,3,2,5,0.03,balanced,1,True,267,67,270,67,0.9104477611940298,0.8872960476056452,0.8963888888888889
5,4,2,5,0.03,balanced,1,True,267,67,270,67,0.9253731343283582,0.9164711269123034,0.9203174603174604
5,5,2,5,0.03,balanced,1,True,268,66,268,69,0.9242424242424242,0.9180219780219782,0.9168181818181818
6,1,2,5,0.03,balanced,2,False,267,67,270,67,0.9402985074626866,0.9456556455240666,0.9446031746031747
6,2,2,5,0.03,balanced,2,False,267,67,270,67,0.8507462686567164,0.8414646464646465,0.8477777777777777
6,3,2,5,0.03,balanced,2,False,267,67,270,67,0.8059701492537313,0.8085461107519931,0.8159920634920634
6,4,2,5,0.03,balanced,2,False,267,67,270,67,0.9104477611940298,0.911947317388494,0.9203174603174604
6,5,2,5,0.03,balanced,2,False,268,66,268,69,0.8787878787878788,0.8683114271349567,0.8658658008658009
7,1,2,5,0.03,balanced,2,True,267,67,270,67,0.9402985074626866,0.9338455988455989,0.9346031746031747
7,2,2,5,0.03,balanced,2,True,267,67,270,67,0.8805970149253731,0.8744444444444446,0.8688888888888888
7,3,2,5,0.03,balanced,2,True,267,67,270,67,0.9104477611940298,0.8872960476056452,0.8963888888888889
7,4,2,5,0.03,balanced,2,True,267,67,270,67,0.9402985074626866,0.9392489046900812,0.9403174603174603
7,5,2,5,0.03,balanced,2,True,268,66,268,69,0.9242424242424242,0.9180219780219782,0.9168181818181818
8,1,2,5,0.1,,1,False,267,67,270,67,0.8059701492537313,0.7681318681318681,0.7717460317460316
8,2,2,5,0.1,,1,False,267,67,270,67,0.8059701492537313,0.7684724310776943,0.766388888888889
8,3,2,5,0.1,,1,False,267,67,270,67,0.746268656716418,0.6780306875786752,0.6959920634920636
8,4,2,5,0.1,,1,False,267,67,270,67,0.835820895522388,0.7920299145299146,0.8126984126984127
8,5,2,5,0.1,,1,False,268,66,268,69,0.8181818181818182,0.7319027578315505,0.7490476190476191
9,1,2,5,0.1,,1,True,267,67,270,67,0.8955223880597015,0.8868656489709121,0.8803174603174604
9,2,2,5,0.1,,1,True,267,67,270,67,0.8805970149253731,0.8664336459221371,0.851388888888889
9,3,2,5,0.1,,1,True,267,67,270,67,0.9253731343283582,0.9240261188087274,0.9175000000000001
9,4,2,5,0.1,,1,True,267,67,270,67,0.9104477611940298,0.8835091808776019,0.8890476190476191
9,5,2,5,0.1,,1,True,268,66,268,69,0.8636363636363636,0.7981521739130435,0.805
10,1,2,5,0.1,,2,False,267,67,270,67,0.8059701492537313,0.7675886296938927,0.7717460317460316
