author,direction,rank,feature,display_feature,latex_feature,category,standardized_weight
Oltean,positive,2,char_freq::,freq(:),freq(colon),punctuation,0.42979552303439716
Oltean,positive,3,char_entropy,char entropy,char entropy,distribution,0.4132291658907966
Oltean,positive,4,char_freq:e,freq(e),freq(e),letter,0.2279860715107936
Oltean,positive,5,char_freq:p,freq(p),freq(p),letter,0.2255283787286002
Oltean,negative,1,"char_freq:,","freq(,)",freq(comma),punctuation,-0.8137395111312767
Oltean,negative,2,char_freq:',freq('),freq(apostrophe),punctuation,-0.7643397466858507
Oltean,negative,3,char_freq:;,freq(;),freq(semicolon),punctuation,-0.7251607859456257
Oltean,negative,4,char_freq:B,freq(B),freq(B),letter,-0.4918274989560392
Oltean,negative,5,"char_freq:""","freq("")",freq(quote),punctuation,-0.47208270898444477
Plugaru,positive,1,char_entropy,char entropy,char entropy,distribution,1.2821849966823198
Plugaru,positive,2,char_freq:ă,freq(ă),freq(a-breve),diacritic,0.35733538688272126
Plugaru,positive,3,char_freq:e,freq(e),freq(e),letter,0.3272146049085367
Plugaru,positive,4,char_freq:t,freq(t),freq(t),letter,0.1915844929634531
Plugaru,positive,5,char_freq:SPACE,freq(SPACE),freq(space),whitespace,0.18813749768038604
Plugaru,negative,1,char_freq:;,freq(;),freq(semicolon),punctuation,-1.300768218028167
Plugaru,negative,2,char_freq::,freq(:),freq(colon),punctuation,-0.5423337510223455
Plugaru,negative,3,char_freq:',freq('),freq(apostrophe),punctuation,-0.36480055301998765
Plugaru,negative,4,punctuation_ratio,punctuation ratio,punctuation ratio,punctuation,-0.3475567848766317
Plugaru,negative,5,char_freq:k,freq(k),freq(k),letter,-0.3187860366716661
Rebreanu,positive,1,char_entropy,char entropy,char entropy,distribution,1.3835228402682682
Rebreanu,positive,2,char_freq:a,freq(a),freq(a),letter,0.3447252438235341
Rebreanu,positive,3,char_freq:i,freq(i),freq(i),letter,0.316125687793018
Rebreanu,positive,4,char_freq:e,freq(e),freq(e),letter,0.28944700385888517
Rebreanu,positive,5,char_freq:o,freq(o),freq(o),letter,0.16271493057700798
Rebreanu,negative,1,char_freq:;,freq(;),freq(semicolon),punctuation,-0.48950162779602857
Rebreanu,negative,2,punctuation_ratio,punctuation ratio,punctuation ratio,punctuation,-0.2857999722404869
Rebreanu,negative,3,char_freq:X,freq(X),freq(X),letter,-0.264658097293047
Rebreanu,negative,4,char_freq:á,freq(á),freq(á),letter,-0.1842148444114978
Rebreanu,negative,5,char_freq:[,freq([),freq(punctuation [),punctuation,-0.16392420142225997
Slavici,positive,1,char_entropy,char entropy,char entropy,distribution,0.617662546292969
Slavici,positive,2,char_freq:SPACE,freq(SPACE),freq(space),whitespace,0.33777391302281423
Slavici,positive,3,space_ratio,space ratio,space ratio,whitespace,0.33777391302281423
Slavici,positive,4,char_freq:a,freq(a),freq(a),letter,0.27150402928004536
Slavici,positive,5,char_freq:r,freq(r),freq(r),letter,0.26672497497889425
Slavici,negative,1,punctuation_ratio,punctuation ratio,punctuation ratio,punctuation,-0.3737589691772423
Slavici,negative,2,char_freq:…,freq(…),freq(ellipsis),punctuation,-0.3211850108833088
Slavici,negative,3,char_freq:Ș,freq(Ș),freq(S-comma),diacritic,-0.19149535857983854
Slavici,negative,4,char_freq:­,freq(­),freq(U+00AD),symbol,-0.1874933618351216
Slavici,negative,5,char_freq:(,freq((),freq(punctuation (),punctuation,-0.1689669422551449
